,Unnamed: 0_x,prefix,pdb,chain1,chain2,uid1,uid2,n_contacts,meffL,n_true,in_train,max_LRS,n_LRS,n_true_LRS,n_LRNS,n_true_LRNS,n_EVC,n_true_EVC,n_EVC_ASA,n_true_EVC_ASA,n_precision,n_true_precision,Unnamed: 0_y,num_top10_8A,output_file,prec_top10_8A
0,1,allpdb0006,4IFD,C,J,RRP43_YEAST,RRP44_YEAST,33,0.241886491,0.0,True,0.19022434006604771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
1,2,allpdb0007,4IFD,A,G,RRP45_YEAST,RRP40_YEAST,55,1.0225609759999998,2.0,True,0.5188049643618325,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,81.0,0.0,allpdb0007/compare/allpdb0007_CouplingScoresCompared_inter.csv,0.0
2,4,allpdb0009,4IFD,K,I,RRP6_YEAST,CSL4_YEAST,53,0.597149123,0.0,True,0.4249621471924386,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,
3,14,allpdb0019,4UB8,o,u,PSBO_THEVL,PSBU_THEVL,31,0.33303303300000003,5.0,True,0.5784757414266486,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,85.0,0.0,allpdb0019/compare/allpdb0019_CouplingScoresCompared_inter.csv,0.0
4,16,allpdb0021,4UB8,E,R,PSBE_THEVL,PSBY_THEVL,38,0.6464285710000001,0.0,True,0.5563631318654926,4.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,115.0,0.0,allpdb0021/compare/allpdb0021_CouplingScoresCompared_inter.csv,0.0
5,18,allpdb0024,4UB8,e,j,PSBE_THEVL,PSBJ_THEVL,33,9.169166667,1.0,False,0.4399506521685391,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,allpdb0024/compare/allpdb0024_CouplingScoresCompared_inter.csv,0.0
6,19,allpdb0025,4UB8,Z,Y,PSBZ_THEVL,YCF12_THEVL,21,18.2972973,0.0,True,0.5605645378224556,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0,0.0,allpdb0025/compare/allpdb0025_CouplingScoresCompared_inter.csv,0.0
7,21,allpdb0027,4UB8,T,L,PSBT_THEVL,PSBL_THEVL,33,22.58939394,1.0,True,0.6890670589398024,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,1.0,allpdb0027/compare/allpdb0027_CouplingScoresCompared_inter.csv,0.1
8,26,allpdb0033,1SXJ,A,G,RFC1_YEAST,PCNA_YEAST,71,0.357642726,0.0,True,0.2932655182868362,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,0.0,allpdb0033/compare/allpdb0033_CouplingScoresCompared_inter.csv,0.0
9,27,allpdb0034,1SXJ,B,G,RFC4_YEAST,PCNA_YEAST,19,3.443243243,0.0,True,0.39408331321653545,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,allpdb0034/compare/allpdb0034_CouplingScoresCompared_inter.csv,0.0
10,29,allpdb0037,3WTP,H,F,H2B1J_HUMAN,H4_HUMAN,23,0.286607143,6.0,True,0.2720645888752365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,0.0,allpdb0037/compare/allpdb0037_CouplingScoresCompared_inter.csv,0.0
11,30,allpdb0039,2FYU,D,H,CY1_BOVIN,QCR6_BOVIN,70,0.791891892,2.0,True,0.8863700143388666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,177.0,2.0,allpdb0039/compare/allpdb0039_CouplingScoresCompared_inter.csv,0.2222222222222222
12,31,allpdb0040,2FYU,D,G,CY1_BOVIN,QCR8_BOVIN,49,0.69047619,4.0,False,0.9315921302463128,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,214.0,3.0,allpdb0040/compare/allpdb0040_CouplingScoresCompared_inter.csv,0.3
